ReturnHistoryID,HistoricalPerformanceID,ExternalID,EndDate,TimePeriod,Value,CategorySize,Type
385256501,16742907,10000,10/31/2013,M1,4.25002,NULL,6
385256502,16742907,10000,9/30/2013,M1,5.05148,NULL,6
385256503,16742907,10000,8/31/2013,M1,-4.28121,NULL,6
385256504,16742907,10000,7/31/2013,M1,6.43617,NULL,6
385256505,16742907,10000,6/30/2013,M1,-0.7056,NULL,6
385256506,16742907,10000,5/31/2013,M1,2.53406,NULL,6
385256507,16742907,10000,4/30/2013,M1,0.06677,NULL,6
385256508,16742907,10000,3/31/2013,M1,4.62082,NULL,6
385256509,16742907,10000,2/28/2013,M1,1.798,NULL,6
385256510,16742907,10000,1/31/2013,M1,6.27483,NULL,6
385256516,16742908,10000,12/31/2012,M1,2.93721,NULL,6
385256517,16742908,10000,11/30/2012,M1,1.00461,NULL,6
385256518,16742908,10000,10/31/2012,M1,0.00826,NULL,6
385256519,16742908,10000,9/30/2012,M1,2.57893,NULL,6
385256520,16742908,10000,8/31/2012,M1,3.51388,NULL,6
385256521,16742908,10000,7/31/2012,M1,-0.34531,NULL,6
385256522,16742908,10000,6/30/2012,M1,3.74887,NULL,6
385256523,16742908,10000,5/31/2012,M1,-6.16324,NULL,6
385256524,16742908,10000,4/30/2012,M1,-0.91961,NULL,6
385256525,16742908,10000,3/31/2012,M1,2.68419,NULL,6
385256526,16742908,10000,2/29/2012,M1,2.63875,NULL,6
385256527,16742908,10000,1/31/2012,M1,7.05981,NULL,6
385256533,16742909,10000,12/31/2011,M1,1.12275,NULL,6
385256534,16742909,10000,11/30/2011,M1,-0.59645,NULL,6
385256535,16742909,10000,10/31/2011,M1,15.06393,NULL,6
385256536,16742909,10000,9/30/2011,M1,-11.02377,NULL,6
385256537,16742909,10000,8/31/2011,M1,-7.5534,NULL,6
385256538,16742909,10000,7/31/2011,M1,-3.70962,NULL,6
385256539,16742909,10000,6/30/2011,M1,-2.17932,NULL,6
385256540,16742909,10000,5/31/2011,M1,-1.5864,NULL,6
385256541,16742909,10000,4/30/2011,M1,2.39876,NULL,6
385256542,16742909,10000,3/31/2011,M1,1.48016,NULL,6
385256543,16742909,10000,2/28/2011,M1,4.40077,NULL,6
385256544,16742909,10000,1/31/2011,M1,0.36547,NULL,6
385256550,16742910,10000,12/31/2010,M1,8.07781,NULL,6
385256551,16742910,10000,11/30/2010,M1,2.14707,NULL,6
385256552,16742910,10000,10/31/2010,M1,3.11943,NULL,6
385256553,16742910,10000,9/30/2010,M1,10.64127,NULL,6
385256554,16742910,10000,8/31/2010,M1,-7.0435,NULL,6
385256555,16742910,10000,7/31/2010,M1,7.22124,NULL,6
385256556,16742910,10000,6/30/2010,M1,-8.24326,NULL,6
