ReturnHistoryID,HistoricalPerformanceID,ExternalID,EndDate,TimePeriod,Value,CategorySize,Type
385257719,16742978,100,10/31/2013,M1,0.17354,NULL,6
385257720,16742978,100,9/30/2013,M1,-10.80605,NULL,6
385257721,16742978,100,8/31/2013,M1,4.12662,NULL,6
385257722,16742978,100,7/31/2013,M1,10.08653,NULL,6
385257723,16742978,100,6/30/2013,M1,-17.19169,NULL,6
385257724,16742978,100,5/31/2013,M1,-2.85378,NULL,6
385257725,16742978,100,4/30/2013,M1,-19.95164,NULL,6
385257726,16742978,100,3/31/2013,M1,1.05884,NULL,6
385257727,16742978,100,2/28/2013,M1,-10.08132,NULL,6
385257728,16742978,100,1/31/2013,M1,-10.27893,NULL,6
385257734,16742979,100,12/31/2012,M1,-1.68314,NULL,6
385257735,16742979,100,11/30/2012,M1,-10.13841,NULL,6
385257736,16742979,100,10/31/2012,M1,-1.45327,NULL,6
385257737,16742979,100,9/30/2012,M1,11.79053,NULL,6
385257738,16742979,100,8/31/2012,M1,11.74893,NULL,6
385257739,16742979,100,7/31/2012,M1,-4.26656,NULL,6
385257740,16742979,100,6/30/2012,M1,2.24954,NULL,6
385257741,16742979,100,5/31/2012,M1,-5.68681,NULL,6
385257742,16742979,100,4/30/2012,M1,-6.48632,NULL,6
385257743,16742979,100,3/31/2012,M1,-10.70319,NULL,6
385257744,16742979,100,2/29/2012,M1,-1.97271,NULL,6
385257745,16742979,100,1/31/2012,M1,9.67719,NULL,6
385257751,16742980,100,12/31/2011,M1,-14.46945,NULL,6
385257752,16742980,100,11/30/2011,M1,2.55102,NULL,6
385257753,16742980,100,10/31/2011,M1,6.691,NULL,6
385257754,16742980,100,9/30/2011,M1,-12.22982,NULL,6
385257755,16742980,100,8/31/2011,M1,10.23006,NULL,6
385257756,16742980,100,7/31/2011,M1,4.19079,NULL,6
385257757,16742980,100,6/30/2011,M1,-5.98963,NULL,6
385257758,16742980,100,5/31/2011,M1,-6.63966,NULL,6
385257759,16742980,100,4/30/2011,M1,3.41954,NULL,6
385257760,16742980,100,3/31/2011,M1,0.49802,NULL,6
385257761,16742980,100,2/28/2011,M1,10.90665,NULL,6
385257762,16742980,100,1/31/2011,M1,-12.20611,NULL,6
385257768,16742981,100,12/31/2010,M1,3.91315,NULL,6
385257769,16742981,100,11/30/2010,M1,3.94941,NULL,6
385257770,16742981,100,10/31/2010,M1,2.17693,NULL,6
385257771,16742981,100,9/30/2010,M1,4.57789,NULL,6
385257772,16742981,100,8/31/2010,M1,10.85257,NULL,6
385257773,16742981,100,7/31/2010,M1,-7.06527,NULL,6
385257774,16742981,100,6/30/2010,M1,4.62701,NULL,6
385257775,16742981,100,5/31/2010,M1,-1.80686,NULL,6
385257776,16742981,100,4/30/2010,M1,13.47696,NULL,6
385257777,16742981,100,3/31/2010,M1,1.50103,NULL,6
385257778,16742981,100,2/28/2010,M1,7.89973,NULL,6
385257779,16742981,100,1/31/2010,M1,-11.77736,NULL,6
385257785,16742982,100,12/31/2009,M1,-9.26265,NULL,6
385257786,16742982,100,11/30/2009,M1,20.07821,NULL,6
385257787,16742982,100,10/31/2009,M1,-6.16278,NULL,6
385257788,16742982,100,9/30/2009,M1,14.51875,NULL,6
385257789,16742982,100,8/31/2009,M1,-0.74023,NULL,6
385257790,16742982,100,7/31/2009,M1,5.24294,NULL,6
385257791,16742982,100,6/30/2009,M1,-14.50792,NULL,6
385257792,16742982,100,5/31/2009,M1,34.33949,NULL,6
385257793,16742982,100,4/30/2009,M1,-10.96508,NULL,6
385257794,16742982,100,3/31/2009,M1,11.22218,NULL,6
385257795,16742982,100,2/28/2009,M1,-2.45116,NULL,6
385257796,16742982,100,1/31/2009,M1,1.17966,NULL,6
385257802,16742983,100,12/31/2008,M1,26.58713,NULL,6
385257803,16742983,100,11/30/2008,M1,27.4459,NULL,6
385257804,16742983,100,10/31/2008,M1,-38.22246,NULL,6
385257805,16742983,100,9/30/2008,M1,-10.22499,NULL,6
385257806,16742983,100,8/31/2008,M1,-13.70433,NULL,6
385257807,16742983,100,7/31/2008,M1,-10.05908,NULL,6
385257808,16742983,100,6/30/2008,M1,4.85153,NULL,6
385257809,16742983,100,5/31/2008,M1,5.84305,NULL,6
385257810,16742983,100,4/30/2008,M1,-8.86018,NULL,6
385257811,16742983,100,3/31/2008,M1,-9.87228,NULL,6
385257812,16742983,100,2/29/2008,M1,5.8591,NULL,6
385257813,16742983,100,1/31/2008,M1,9.24083,NULL,6
385257819,16742984,100,12/31/2007,M1,0.79409,NULL,6
385257820,16742984,100,11/30/2007,M1,-8.33443,NULL,6
385257821,16742984,100,10/31/2007,M1,11.93058,NULL,6
385257822,16742984,100,9/30/2007,M1,20.17385,NULL,6
385257823,16742984,100,8/31/2007,M1,-6.30665,NULL,6
385257824,16742984,100,7/31/2007,M1,5.72503,NULL,6
385257825,16742984,100,6/30/2007,M1,-3.29132,NULL,6
385257826,16742984,100,5/31/2007,M1,-1.21347,NULL,6
385257827,16742984,100,4/30/2007,M1,0.49263,NULL,6
385257828,16742984,100,3/31/2007,M1,-1.3566,NULL,6
385257829,16742984,100,2/28/2007,M1,1.08289,NULL,6
385257830,16742984,100,1/31/2007,M1,-0.84223,NULL,6
385257836,16742985,100,12/31/2006,M1,-4.59582,NULL,6
385257837,16742985,100,11/30/2006,M1,10.27699,NULL,6
385257838,16742985,100,10/31/2006,M1,6.46195,NULL,6
385257839,16742985,100,9/30/2006,M1,-12.07791,NULL,6
385257840,16742985,100,8/31/2006,M1,4.67175,NULL,6
385257841,16742985,100,7/31/2006,M1,0.0847,NULL,6
385257842,16742985,100,6/30/2006,M1,-0.05137,NULL,6
385257843,16742985,100,5/31/2006,M1,-11.15083,NULL,6
385257844,16742985,100,4/30/2006,M1,12.52354,NULL,6
385257845,16742985,100,3/31/2006,M1,8.85169,NULL,6
