ReturnHistoryID,HistoricalPerformanceID,ExternalID,EndDate,TimePeriod,Value,CategorySize,Type
385255561,16742853,100,10/31/2013,M1,4.40055,NULL,6
385255562,16742853,100,9/30/2013,M1,3.40761,NULL,6
385255563,16742853,100,8/31/2013,M1,-2.85064,NULL,6
385255564,16742853,100,7/31/2013,M1,5.22037,NULL,6
385255565,16742853,100,6/30/2013,M1,-1.37121,NULL,6
385255566,16742853,100,5/31/2013,M1,2.21398,NULL,6
385255567,16742853,100,4/30/2013,M1,1.92141,NULL,6
385255568,16742853,100,3/31/2013,M1,3.83195,NULL,6
385255569,16742853,100,2/28/2013,M1,1.2707,NULL,6
385255570,16742853,100,1/31/2013,M1,5.39918,NULL,6
385255576,16742854,100,12/31/2012,M1,0.99113,NULL,6
385255577,16742854,100,11/30/2012,M1,0.69688,NULL,6
385255578,16742854,100,10/31/2012,M1,-1.77059,NULL,6
385255579,16742854,100,9/30/2012,M1,2.55468,NULL,6
385255580,16742854,100,8/31/2012,M1,2.3371,NULL,6
385255581,16742854,100,7/31/2012,M1,1.23244,NULL,6
385255582,16742854,100,6/30/2012,M1,3.8831,NULL,6
385255583,16742854,100,5/31/2012,M1,-6.11759,NULL,6
385255584,16742854,100,4/30/2012,M1,-0.57411,NULL,6
385255585,16742854,100,3/31/2012,M1,3.16916,NULL,6
385255586,16742854,100,2/29/2012,M1,4.36168,NULL,6
385255587,16742854,100,1/31/2012,M1,4.79345,NULL,6
385255593,16742855,100,12/31/2011,M1,0.89991,NULL,6
385255594,16742855,100,11/30/2011,M1,-0.22625,NULL,6
385255595,16742855,100,10/31/2011,M1,11.06094,NULL,6
385255596,16742855,100,9/30/2011,M1,-7.33084,NULL,6
385255597,16742855,100,8/31/2011,M1,-5.63792,NULL,6
385255598,16742855,100,7/31/2011,M1,-2.05168,NULL,6
385255599,16742855,100,6/30/2011,M1,-1.74689,NULL,6
385255600,16742855,100,5/31/2011,M1,-1.07097,NULL,6
385255601,16742855,100,4/30/2011,M1,3.01783,NULL,6
385255602,16742855,100,3/31/2011,M1,0.201,NULL,6
385255603,16742855,100,2/28/2011,M1,3.37424,NULL,6
385255604,16742855,100,1/31/2011,M1,2.39804,NULL,6
385255610,16742856,100,12/31/2010,M1,6.63773,NULL,6
385255611,16742856,100,11/30/2010,M1,0.23039,NULL,6
385255612,16742856,100,10/31/2010,M1,3.89911,NULL,6
385255613,16742856,100,9/30/2010,M1,9.0553,NULL,6
385255614,16742856,100,8/31/2010,M1,-4.39844,NULL,6
385255615,16742856,100,7/31/2010,M1,6.95301,NULL,6
385255616,16742856,100,6/30/2010,M1,-5.22994,NULL,6
385255617,16742856,100,5/31/2010,M1,-7.91635,NULL,6
385255618,16742856,100,4/30/2010,M1,1.63398,NULL,6
385255619,16742856,100,3/31/2010,M1,5.99906,NULL,6
385255620,16742856,100,2/28/2010,M1,3.22712,NULL,6
385255621,16742856,100,1/31/2010,M1,-3.41807,NULL,6
385255627,16742857,100,12/31/2009,M1,2.21411,NULL,6
385255628,16742857,100,11/30/2009,M1,5.90231,NULL,6
385255629,16742857,100,10/31/2009,M1,-2.01776,NULL,6
385255630,16742857,100,9/30/2009,M1,3.84503,NULL,6
385255631,16742857,100,8/31/2009,M1,3.43966,NULL,6
385255632,16742857,100,7/31/2009,M1,7.51231,NULL,6
385255633,16742857,100,6/30/2009,M1,0.26664,NULL,6
385255634,16742857,100,5/31/2009,M1,5.33297,NULL,6
385255635,16742857,100,4/30/2009,M1,9.45566,NULL,6
385255636,16742857,100,3/31/2009,M1,8.63823,NULL,6
385255637,16742857,100,2/28/2009,M1,-10.22636,NULL,6
385255638,16742857,100,1/31/2009,M1,-8.04687,NULL,6
385255644,16742858,100,12/31/2008,M1,1.31888,NULL,6
385255645,16742858,100,11/30/2008,M1,-7.47198,NULL,6
385255646,16742858,100,10/31/2008,M1,-17.03479,NULL,6
385255647,16742858,100,9/30/2008,M1,-9.19952,NULL,6
385255648,16742858,100,8/31/2008,M1,1.34452,NULL,6
385255649,16742858,100,7/31/2008,M1,-1.15089,NULL,6
385255650,16742858,100,6/30/2008,M1,-8.11649,NULL,6
385255651,16742858,100,5/31/2008,M1,1.78383,NULL,6
385255652,16742858,100,4/30/2008,M1,5.04753,NULL,6
385255653,16742858,100,3/31/2008,M1,-0.59589,NULL,6
385255654,16742858,100,2/29/2008,M1,-3.05126,NULL,6
385255655,16742858,100,1/31/2008,M1,-6.03251,NULL,6
385255661,16742859,100,12/31/2007,M1,-0.60904,NULL,6
385255662,16742859,100,11/30/2007,M1,-4.08681,NULL,6
385255663,16742859,100,10/31/2007,M1,1.85382,NULL,6
385255664,16742859,100,9/30/2007,M1,3.81585,NULL,6
385255665,16742859,100,8/31/2007,M1,1.45042,NULL,6
385255666,16742859,100,7/31/2007,M1,-3.03751,NULL,6
385255667,16742859,100,6/30/2007,M1,-1.64839,NULL,6
385255668,16742859,100,5/31/2007,M1,3.57371,NULL,6
385255669,16742859,100,4/30/2007,M1,4.23241,NULL,6
385255670,16742859,100,3/31/2007,M1,1.11359,NULL,6
385255671,16742859,100,2/28/2007,M1,-1.82613,NULL,6
385255672,16742859,100,1/31/2007,M1,1.81142,NULL,6
385255678,16742860,100,12/31/2006,M1,1.31987,NULL,6
385255679,16742860,100,11/30/2006,M1,2.12159,NULL,6
385255680,16742860,100,10/31/2006,M1,3.36954,NULL,6
385255681,16742860,100,9/30/2006,M1,2.44996,NULL,6
385255682,16742860,100,8/31/2006,M1,2.33741,NULL,6
385255683,16742860,100,7/31/2006,M1,0.3995,NULL,6
385255684,16742860,100,6/30/2006,M1,0.16441,NULL,6
385255685,16742860,100,5/31/2006,M1,-2.91323,NULL,6
385255686,16742860,100,4/30/2006,M1,1.25379,NULL,6
385255687,16742860,100,3/31/2006,M1,1.40151,NULL,6
385255688,16742860,100,2/28/2006,M1,-0.00469,NULL,6
385255689,16742860,100,1/31/2006,M1,2.86326,NULL,6
385255695,16742861,100,12/31/2005,M1,0.12758,NULL,6
385255696,16742861,100,11/30/2005,M1,3.86583,NULL,6
385255697,16742861,100,10/31/2005,M1,-1.61509,NULL,6
385255698,16742861,100,9/30/2005,M1,0.81692,NULL,6
385255699,16742861,100,8/31/2005,M1,-0.82009,NULL,6
385255700,16742861,100,7/31/2005,M1,3.81672,NULL,6
385255701,16742861,100,6/30/2005,M1,0.40933,NULL,6
385255702,16742861,100,5/31/2005,M1,3.49073,NULL,6
385255703,16742861,100,4/30/2005,M1,-1.80446,NULL,6
385255704,16742861,100,3/31/2005,M1,-1.62762,NULL,6
385255705,16742861,100,2/28/2005,M1,2.2493,NULL,6
385255706,16742861,100,1/31/2005,M1,-2.4577,NULL,6
385255712,16742862,100,12/31/2004,M1,3.60738,NULL,6
385255713,16742862,100,11/30/2004,M1,4.19627,NULL,6
385255714,16742862,100,10/31/2004,M1,1.54433,NULL,6
385255715,16742862,100,9/30/2004,M1,1.25898,NULL,6
385255716,16742862,100,8/31/2004,M1,0.47396,NULL,6
385255717,16742862,100,7/31/2004,M1,-3.39396,NULL,6
385255718,16742862,100,6/30/2004,M1,1.90337,NULL,6
385255719,16742862,100,5/31/2004,M1,1.35672,NULL,6
385255720,16742862,100,4/30/2004,M1,-1.65795,NULL,6
385255721,16742862,100,3/31/2004,M1,-1.36735,NULL,6
385255722,16742862,100,2/29/2004,M1,1.49213,NULL,6
385255723,16742862,100,1/31/2004,M1,1.91571,NULL,6
385255729,16742863,100,12/31/2003,M1,4.76798,NULL,6
385255730,16742863,100,11/30/2003,M1,1.04049,NULL,6
385255731,16742863,100,10/31/2003,M1,5.76004,NULL,6
385255732,16742863,100,9/30/2003,M1,-1.10296,NULL,6
385255733,16742863,100,8/31/2003,M1,2.08522,NULL,6
385255734,16742863,100,7/31/2003,M1,1.90622,NULL,6
385255735,16742863,100,6/30/2003,M1,1.28996,NULL,6
385255736,16742863,100,5/31/2003,M1,5.49131,NULL,6
385255737,16742863,100,4/30/2003,M1,7.9543,NULL,6
385255738,16742863,100,3/31/2003,M1,1.12204,NULL,6
385255739,16742863,100,2/28/2003,M1,-1.56244,NULL,6
385255740,16742863,100,1/31/2003,M1,-2.54291,NULL,6
385255746,16742864,100,12/31/2002,M1,-5.60281,NULL,6
385255747,16742864,100,11/30/2002,M1,5.69271,NULL,6
385255748,16742864,100,10/31/2002,M1,8.25494,NULL,6
385255749,16742864,100,9/30/2002,M1,-10.44905,NULL,6
385255750,16742864,100,8/31/2002,M1,0.60647,NULL,6
385255751,16742864,100,7/31/2002,M1,-7.34368,NULL,6
