ReturnHistoryID,HistoricalPerformanceID,ExternalID,EndDate,TimePeriod,Value,CategorySize,Type
385255561,16742853,100,10/31/2013,M1,4.40055,NULL,6
385255562,16742853,100,9/30/2013,M1,3.40761,NULL,6
385255563,16742853,100,8/31/2013,M1,-2.85064,NULL,6
385255564,16742853,100,7/31/2013,M1,5.22037,NULL,6
385255565,16742853,100,6/30/2013,M1,-1.37121,NULL,6
385255566,16742853,100,5/31/2013,M1,2.21398,NULL,6
385255567,16742853,100,4/30/2013,M1,1.92141,NULL,6
385255568,16742853,100,3/31/2013,M1,3.83195,NULL,6
385255569,16742853,100,2/28/2013,M1,1.2707,NULL,6
385255561,16742853,101,10/31/2013,M1,4.40055,NULL,6
385255562,16742853,101,9/30/2013,M1,3.40761,NULL,6
385255563,16742853,101,8/31/2013,M1,-2.85064,NULL,6
385255564,16742853,101,7/31/2013,M1,5.22037,NULL,6
385255565,16742853,101,6/30/2013,M1,-1.37121,NULL,6
385255566,16742853,101,5/31/2013,M1,2.21398,NULL,6
385255567,16742853,101,4/30/2013,M1,1.92141,NULL,6
385255568,16742853,101,3/31/2013,M1,3.83195,NULL,6
385255569,16742853,101,2/28/2013,M1,1.2707,NULL,6
385255561,16742853,102,10/31/2013,M1,4.40055,NULL,6
385255562,16742853,102,9/30/2013,M1,3.40761,NULL,6
385255563,16742853,102,8/31/2013,M1,-2.85064,NULL,6
385255564,16742853,102,7/31/2013,M1,5.22037,NULL,6
385255565,16742853,102,6/30/2013,M1,-1.37121,NULL,6
385255566,16742853,102,5/31/2013,M1,2.21398,NULL,6
385255567,16742853,102,4/30/2013,M1,1.92141,NULL,6
385255568,16742853,102,3/31/2013,M1,3.83195,NULL,6
385255569,16742853,102,2/28/2013,M1,1.2707,NULL,6
